Loaded processed data from: /pool1/home/ysxin/E3nnVB/VB/processed/train_data.pt
Using device: cuda
CUDA device: NVIDIA GeForce RTX 4080
/pool1/home/ysxin/miniconda3/envs/newe3nn/lib/python3.10/site-packages/torch/utils/data/dataloader.py:617: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
C4H6 tensor([0])
/pool1/home/ysxin/miniconda3/envs/newe3nn/lib/python3.10/site-packages/torch/utils/data/dataloader.py:617: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
Epoch 051 | Loss(MSE)=0.007396 | MAE=0.036399 | RMSE=0.085999 | LR=9.98e-04
Epoch 052 | Loss(MSE)=0.007366 | MAE=0.036512 | RMSE=0.085824 | LR=9.98e-04
Epoch 053 | Loss(MSE)=0.007384 | MAE=0.036488 | RMSE=0.085930 | LR=9.98e-04
Epoch 054 | Loss(MSE)=0.007380 | MAE=0.036461 | RMSE=0.085906 | LR=9.98e-04
Epoch 055 | Loss(MSE)=0.007398 | MAE=0.036487 | RMSE=0.086012 | LR=9.98e-04
Epoch 056 | Loss(MSE)=0.007392 | MAE=0.036392 | RMSE=0.085976 | LR=9.98e-04
Epoch 057 | Loss(MSE)=0.007383 | MAE=0.036493 | RMSE=0.085925 | LR=9.98e-04
Epoch 058 | Loss(MSE)=0.007386 | MAE=0.036510 | RMSE=0.085944 | LR=9.98e-04
Epoch 059 | Loss(MSE)=0.007396 | MAE=0.036497 | RMSE=0.086003 | LR=9.98e-04
Epoch 060 | Loss(MSE)=0.007384 | MAE=0.036552 | RMSE=0.085931 | LR=9.98e-04
Epoch 061 | Loss(MSE)=0.007386 | MAE=0.036471 | RMSE=0.085939 | LR=9.98e-04
Epoch 062 | Loss(MSE)=0.007384 | MAE=0.036477 | RMSE=0.085933 | LR=9.98e-04
Epoch 063 | Loss(MSE)=0.007370 | MAE=0.036476 | RMSE=0.085851 | LR=9.98e-04
Epoch 064 | Loss(MSE)=0.007390 | MAE=0.036456 | RMSE=0.085967 | LR=9.97e-04
Epoch 065 | Loss(MSE)=0.007383 | MAE=0.036523 | RMSE=0.085922 | LR=9.97e-04
Epoch 066 | Loss(MSE)=0.007393 | MAE=0.036402 | RMSE=0.085985 | LR=9.97e-04
Epoch 067 | Loss(MSE)=0.007395 | MAE=0.036439 | RMSE=0.085996 | LR=9.97e-04
Epoch 068 | Loss(MSE)=0.007390 | MAE=0.036605 | RMSE=0.085968 | LR=9.97e-04
Epoch 069 | Loss(MSE)=0.007403 | MAE=0.036542 | RMSE=0.086042 | LR=9.97e-04
Epoch 070 | Loss(MSE)=0.007393 | MAE=0.036489 | RMSE=0.085980 | LR=9.97e-04
Epoch 071 | Loss(MSE)=0.007383 | MAE=0.036458 | RMSE=0.085926 | LR=9.97e-04
Epoch 072 | Loss(MSE)=0.007397 | MAE=0.036503 | RMSE=0.086003 | LR=9.97e-04
Epoch 073 | Loss(MSE)=0.007388 | MAE=0.036595 | RMSE=0.085951 | LR=9.97e-04
Epoch 074 | Loss(MSE)=0.007376 | MAE=0.036432 | RMSE=0.085884 | LR=9.97e-04
Epoch 075 | Loss(MSE)=0.007381 | MAE=0.036380 | RMSE=0.085912 | LR=9.97e-04
